,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
87,893599,Правда Саманты Смит,5.929,0.0,275,0,2015,"комедия, драма, семейный",Андрей Соболев,3930305,Россия
88,40868,О`кей,5.66,3.9,284,28,2002,"комедия, криминал",Олег Фомин,238289,Россия
89,397298,Родина или смерть,4.283,4.2,1257,20,2007,"детский, приключения, военный",Алла Криницына,231190,"Россия, Беларусь"
90,788196,Паша 183,7.924,0.0,379,0,2013,документальный,Никита Номерз,5022317,Россия
91,254809,Кожа Саламандры,5.704,5.5,513,22,2004,"триллер, детектив",Алексей Рудаков,281428,Россия
92,41512,Большой капкан или соло для кошки при полной луне,5.367,5.1,287,23,1992,"драма, мелодрама","Хасан Биджиев, Анатолий Галиев","281350, 281009",Россия
93,885621,Москва-Питер. В поисках счастья!,6.92,0.0,272,0,2015,документальный,Алексей Пантелеев,1817524,Россия
94,496806,Загадки нашего Я,7.677,0.0,694,0,2011,документальный,Виктор Фокеев,1937363,Россия
95,1133263,Сибирь и он,6.039,0.0,220,0,2019,драма,Вячеслав Коптуревский,1942887,"Россия, США"
96,481152,Расщепление души,3.712,0.0,244,0,2008,триллер,Алексей Пантелеев,1817524,Россия
97,1026224,Вера,5.87,0.0,994,0,2017,мелодрама,Глеб Якубовский,3488519,"Россия, Беларусь"
98,565184,Бахтынчак,2.851,0.0,98,0,2010,"триллер, драма, детектив",Виталий Кривило,2278118,Россия
99,793863,Берега любви,5.376,0.0,788,0,2013,мелодрама,Андрей Селиванов,1614468,Россия
0,424012,Багровый цвет снегопада,6.064,5.3,1075,49,2008,"драма, мелодрама",Владимир Мотыль,266147,Россия
1,528236,Чёрный баран,3.988,5.3,279,19,2009,"комедия, семейный",Роман Хрущ,582993,Россия
2,1338239,Иваново счастье,7.3,0.0,10554,0,2021,"драма, мелодрама, комедия",Иван Соснин,4520987,Россия
3,81610,Второй фронт,3.884,3.9,722,359,2005,"боевик, мелодрама, военный",Дмитрий Фикс,245606,"Россия, США"
4,963346,Нелюбовь,7.425,7.6,142273,36445,2017,драма,Андрей Звягинцев,455876,"Россия, Франция, Бельгия, Германия"
5,28242,"Вера, надежда, кровь",2.157,3.8,189,44,2000,драма,Марина Дубровина,245795,"Россия, Финляндия"
6,41359,Зона Любэ,7.053,5.6,1608,44,1994,"драма, музыка",Дмитрий Золотухин,269781,Россия
7,423994,Волшебник,6.282,5.1,1573,37,2008,"мелодрама, комедия",Андрес Пуустусмаа,398893,Россия
